en_GB,nonce/nonces,paedophile (also a non-vulgar technical term),2
en_GB,paki/pakis,vulgar word for brown-skinned person,3
en_GB,shag/shags/shagged,vulgar word for sex,2
en_GB,slag/slags,vulgar word for prostitute (also non vulagar meaning pile of rubbish or act of insulting),3
en_GB,turtlehead,tip of a mans penis (also head of a turtle),2
en_IN,bhenchod/behenchod,vulgar word for idiot,3
en_IN,bhosda/bhosada,vulgar word for vagina,3
en_IN,bhosdi/bhosadi,vulgar word for idiot,3
en_IN,chut/choot/chooth,vulgar word for idiot; vagina,3
en_IN,chutiya,vulgar word for idiot,3
en_IN,gand/gaand,butt,3
en_IN,gandu/gaandu,vulgar word for idiot,3
en_IN,jhaant,pubes,3
en_IN,Kutta,dog,3
en_IN,lauda,penis,3
en_IN,lund,penis,3
en_IN,madarchod,vulgar word for idiot; motherfucker,3
en_IN,randi,prostitute,3
en_IN,soovar/suvar,pig,3
en_IN,tatte,testicles,3
en_IN,tatti,poo,3
en_IN,ullu,idiot (also owl),1
en,jizz/jizzed,semen,2
en,milf/milfs,mother that other people want to have sex with,2
en,moron/morons,idiot,1
en,motherfucker/motherfuckers,idiot,2
en,nazi,nazi,3
en,nigger/nigga/niggers,vulgar name for dark-skinned person,3
en,nutjob/nutjobs,vulgar word for idiot,2
en,paedophile/paedophiles,someone who has sex with children,3
en,piss/pisses/pissed,urine (also rain and to take advantage of something),1
en,prick/pricks,penis or idiot (also non-vulgar for making a small hole),1
en,pussy/pussies,vulgar name for vagina (also a cat),1
en,rape/rapes/raped,intercourse without consent,2
en,retard/retards,vulgar word for disabled person,3
en,scissoring,female-female sex (also non-vulgar to cut something),2
en,scum,someome worthless (also non-vulgar as dirt) ,2
en,sex,intercourse,1
en,shit/shits/shitted/shat,poo,1
en,skank/skanks,vulgar word for prostitute,3
en,slut/sluts,vulgar word for prostitute,3
en,snatch,vulgar name for vagina (also to grab without permission),2
en,strap-on/strap-ons,sex toy,2
en,titties,breasts,1
en,tit/tits,breasts (also a bird species) ,1
en,tranny/trannies,vulgar term for transsexual,2
